date	start	stop	interruptions	time	task
25/9	13:00:00	16:00:00	0:10:00	2:50:00	programming
					
5/10/2012	13:57:00	14:32:00	0:05:00	-0:40:00	Boolean exercise 
					
14/10	12:14:00	13:06:00	0:15:00	0:37:00	
					
16/10	15:06:00	15:57:00	0:13:00	0:38:00	comparing numbers
					
28/10	12:48:00	13:10:00	0:00:00	0:22:00	a cycling update
					
14/11	12:40:00	13:05:00	0:00:00	0:25:00	assembly lan
					
14/11	13:10:00	13:28:00	0:00:00	0:18:00	machine code
					
18/11	12:45:00	13:33:00	0:05:00	0:43:00	turn combat code